model,context_set_id,dataset,context_size,accuracy_teacher,accuracy_indomain,accuracy_ood,trainable_parameters,all_parameters
opt-350m,0,rte,2,0.375,0.46,0.53,1572864,332769280
opt-350m,1,rte,16,0.4375,0.53,0.48,1572864,332769280
opt-350m,1,rte,2,0.40625,0.5,0.56,1572864,332769280
opt-350m,2,rte,16,0.4375,0.52,0.48,1572864,332769280
opt-350m,2,rte,2,0.40625,0.55,0.47,1572864,332769280
opt-350m,3,rte,16,0.5,0.52,0.57,1572864,332769280
opt-350m,3,rte,2,0.4375,0.48,0.58,1572864,332769280
opt-2.7b,0,rte,16,0.46875,0.52,0.52,5242880,2656839680
opt-2.7b,0,rte,2,0.6875,0.52,0.47,5242880,2656839680
opt-2.7b,1,rte,16,0.5625,0.47,0.45,5242880,2656839680
opt-2.7b,1,rte,2,0.625,0.45,0.49,5242880,2656839680
opt-2.7b,2,rte,16,0.5625,0.48,0.51,5242880,2656839680
opt-2.7b,2,rte,2,0.59375,0.56,0.42,5242880,2656839680
opt-2.7b,3,rte,16,0.59375,0.52,0.41,5242880,2656839680
opt-2.7b,3,rte,2,0.4375,0.52,0.57,5242880,2656839680
